dim0,dim1,dim2,dim3,y
,,-2.8073,-0.44699,0.0
,8.1674,,-1.4621,0.0
3.866,-2.6383,,0.10645,0.0
3.4566,9.5228,-4.0112,-3.5944,0.0
0.32924,,4.5718,-0.9888,0.0
4.3684,,-3.9606,-3.1625,0.0
,3.0129,0.72888,,0.0
2.0922,-6.81,,-0.60216,0.0
3.2032,5.7588,-0.75345,,0.0
1.5356,9.1772,-2.2718,-0.73535,0.0
1.2247,8.7779,-2.2135,-0.80647,0.0
,-2.7066,,0.86291,0.0
1.8993,,0.15394,-3.1108,0.0
,10.843,,-2.9362,0.0
3.404,8.7261,-2.9915,-0.57242,0.0
,-3.3895,3.4896,,0.0
2.6719,3.0646,,,0.0
0.80355,2.8473,4.3439,0.6017,0.0
1.4479,,,-2.1086,0.0
5.2423,11.0272,-4.353,-4.1013,0.0
5.7867,7.8902,,-0.48708,0.0
0.3292,-4.4552,,,0.0
3.9362,10.1622,-3.8235,-4.0172,0.0
0.93584,8.8855,-1.6831,-1.6599,0.0
4.4338,9.887,-4.6795,,0.0
0.7057,-5.4981,,-2.8715,0.0
,-3.7413,5.5777,-0.63578,0.0
-0.38214,8.3909,2.1624,-3.7405,0.0
,9.8187,-4.4113,-3.2258,0.0
4.8906,,,1.0905,0.0
-0.24811,-0.17797,4.9068,0.15429,0.0
1.4884,3.6274,3.308,0.48921,0.0
4.2969,,-2.3874,-0.96164,0.0
,9.4111,1.7305,,0.0
-1.6162,0.80908,8.1628,0.60817,0.0
,6.4417,-0.80743,-0.69139,0.0
,6.0195,-0.46641,,0.0
3.6289,0.81322,1.6277,0.77627,0.0
4.5679,,-2.1055,,0.0
3.4805,9.7008,-3.7541,,0.0
4.1711,,,-0.59699,0.0
-0.2062,9.2207,-3.7044,-6.8103,0.0
-0.0068919,9.2931,-0.41243,-1.9638,0.0
,5.8395,2.3235,,0.0
2.8561,6.9176,-0.79372,0.48403,0.0
-0.7869,9.5663,-3.7867,,0.0
,6.6258,0.48382,-2.2134,0.0
-0.7869,9.5663,-3.7867,,0.0
3.9102,6.065,-2.4534,,0.0
1.6349,3.286,2.8753,,0.0
,-4.8835,3.4356,,0.0
,3.9834,-1.5572,1.0103,0.0
3.1452,5.825,-0.51439,-1.4944,0.0
,,-1.1605,-1.2371,0.0
4.9264,5.496,-2.4774,-0.50648,0.0
4.8265,0.80287,1.6371,,0.0
2.5635,6.7769,,0.38576,0.0
,5.0097,-2.2384,0.43878,0.0
3.1377,-4.1096,4.5701,,0.0
-0.78289,11.3603,-0.37644,,0.0
,0.44696,4.5907,-0.24398,0.0
,5.527,1.7785,,0.0
4.2586,11.2962,-4.0943,-4.3457,0.0
1.7939,,1.5454,-0.26079,0.0
,3.1039,-1.1536,1.5651,0.0
,2.599,,0.20085,0.0
4.6054,-4.0765,2.7587,,0.0
,,-3.0789,-2.7746,0.0
1.0009,7.7846,,-2.6608,0.0
0.12326,,,-2.4332,0.0
3.9529,,2.3792,0.48274,0.0
4.1373,0.49248,1.093,,0.0
,10.0153,-3.9486,-3.8582,0.0
,,3.643,1.0879,0.0
,10.9072,-4.5775,,0.0
,3.5364,0.57551,0.41938,0.0
3.7935,,-2.5477,-1.872,0.0
0.049175,,1.7828,,0.0
0.24835,7.6439,0.9885,-0.87371,0.0
1.1317,,3.3979,0.84351,0.0
2.8033,9.0862,-3.3668,,0.0
4.4682,,0.95766,,0.0
5.0185,,-2.9375,,0.0
1.8664,7.7763,,-2.9634,0.0
3.245,6.63,-0.63435,,0.0
4.0296,2.6756,0.80685,,0.0
-1.1313,1.9037,7.5339,1.022,0.0
0.87603,6.8141,0.84198,-0.17156,0.0
4.1197,,,0.67412,0.0
3.8027,,2.1041,,0.0
1.4806,7.6377,-2.7876,-1.0341,0.0
4.0632,3.584,0.72545,0.39481,0.0
,8.2068,-2.7824,-1.4336,0.0
2.4486,-6.3175,7.9632,0.20602,0.0
3.2718,1.7837,2.1161,0.61334,0.0
,-4.6062,8.347,-2.7099,0.0
2.9543,1.076,0.64577,0.89394,0.0
,-6.8804,,-0.081048,0.0
3.82,,-4.0112,-5.0284,0.0
-2.7419,,2.5394,-5.5793,0.0
3.3669,-5.1856,3.6935,-1.1427,0.0
4.5597,-2.4211,,1.6168,0.0
5.1129,-0.49871,0.62863,,0.0
3.3397,-4.6145,3.9823,-0.23751,0.0
4.2027,0.22761,0.96108,0.97282,0.0
,1.2395,1.997,2.1547,0.0
2.3136,10.6651,-3.5288,-4.7672,0.0
-1.8584,7.886,-1.6643,,0.0
3.106,,-4.2536,,0.0
2.9163,,-3.3437,,0.0
,,3.7304,-0.1095,0.0
1.518,5.6946,,-0.026738,0.0
3.2351,9.647,-3.2074,,0.0
4.2188,6.8162,-1.2804,0.76076,0.0
,,-1.2744,-1.5759,0.0
2.5331,2.9135,-0.822,,0.0
3.8969,7.4163,-1.8245,,0.0
,6.7955,-0.1708,0.4905,0.0
,0.70768,2.29,,0.0
0.9297,-3.7971,4.6429,,0.0
,,-3.4071,-4.109,0.0
4.0713,10.4023,,-4.7582,0.0
-1.4572,,1.7425,,0.0
-1.5075,1.9224,7.1466,,0.0
-0.91718,9.9884,,-5.2263,0.0
,7.2011,-1.2153,0.3211,0.0
-2.343,12.9516,,-5.9426,0.0
3.7818,-2.8846,,,0.0
4.6689,,0.055404,1.909,0.0
3.4663,1.1112,,1.3388,0.0
3.2697,-4.3414,3.6884,-0.29829,0.0
,8.6703,-2.8913,-1.5086,0.0
2.0139,6.1416,,,0.0
0.4339,5.5395,,-0.40432,0.0
-1.0401,,0.85998,-5.3336,0.0
4.1605,,,-4.0819,0.0
5.438,9.4669,-4.9417,-3.9202,0.0
,8.2026,,-1.0341,0.0
5.2418,10.5388,,-4.2797,0.0
-0.2062,9.2207,,,0.0
2.0911,0.94358,4.5512,,0.0
,-0.34765,,-0.99138,0.0
4.1736,3.3336,-1.4244,0.60429,0.0
3.9232,-3.2467,3.4579,0.83705,0.0
,10.1539,-3.8561,,0.0
0.5195,-3.2633,3.0895,-0.9849,0.0
3.8584,0.78425,,1.7008,0.0
1.7496,-0.1759,,,0.0
3.6277,,0.68861,,0.0
2.7391,7.4018,0.071684,,0.0
4.5447,8.2274,-2.4166,-1.5875,0.0
-1.7599,11.9211,,,0.0
,0.21313,0.20278,,0.0
3.4591,11.112,-4.2039,-5.0931,0.0
1.9358,,-0.023425,-2.2586,0.0
2.486,-0.99533,5.3404,,0.0
2.4226,-4.5752,5.947,0.21507,0.0
3.9479,-3.7723,2.883,,0.0
,,3.6558,-0.61251,0.0
1.3566,4.2358,,,0.0
5.0452,,,0.86291,0.0
3.5499,8.6165,-3.2794,-1.2009,0.0
,7.8695,0.26876,-3.7883,0.0
2.4008,9.3593,-3.3565,-3.3526,0.0
4.8851,1.5995,-0.00029081,1.6401,0.0
4.1927,-3.2674,,0.21766,0.0
1.1166,8.6496,-0.96252,-1.8112,0.0
1.0235,,,-2.7125,0.0
,11.8818,2.0458,-5.2728,0.0
0.11739,6.2761,,-2.4746,0.0
0.5706,-0.0248,1.2421,,0.0
