dim0,dim1,y
58164.0,,9.0
,84514.0,1.0
58148.0,,6.0
58144.0,822645.0,9.0
58134.0,447299.0,5.0
,81761.0,1.0
,328416.0,4.0
,339124.0,4.0
58098.0,258117.0,3.0
,323385.0,4.0
58090.0,528875.0,6.0
58075.0,548545.0,6.0
58060.0,833982.0,9.0
58043.0,,2.0
58025.0,,5.0
,862886.0,9.0
58016.0,146859.0,2.0
,266976.0,3.0
,482175.0,5.0
57983.0,,6.0
,840007.0,9.0
,136618.0,2.0
,747135.0,8.0
57964.0,103023.0,1.0
,817670.0,9.0
,14520.0,1.0
57960.0,516445.0,6.0
57956.0,,6.0
,163350.0,2.0
57935.0,481377.0,5.0
57918.0,,4.0
57899.0,247449.0,3.0
57880.0,881254.0,10.0
57877.0,357354.0,4.0
,615207.0,7.0
,439973.0,5.0
,814777.0,9.0
57846.0,399048.0,4.0
57836.0,,7.0
57828.0,,6.0
57821.0,757008.0,8.0
,236404.0,3.0
57819.0,,4.0
57806.0,,4.0
57768.0,,10.0
57750.0,371804.0,4.0
57742.0,203488.0,2.0
57741.0,,2.0
57721.0,546491.0,6.0
57706.0,,7.0
57698.0,270759.0,3.0
,116063.0,1.0
57695.0,,2.0
57665.0,307546.0,3.0
57634.0,513421.0,6.0
57626.0,371788.0,4.0
57621.0,357664.0,4.0
,369978.0,4.0
,625025.0,7.0
57547.0,,10.0
57528.0,342760.0,4.0
57506.0,341974.0,4.0
57501.0,812427.0,9.0
,340774.0,4.0
57474.0,647352.0,7.0
57469.0,275864.0,3.0
,806342.0,9.0
57421.0,,8.0
57413.0,,4.0
,931548.0,10.0
57390.0,283286.0,3.0
57367.0,,9.0
57364.0,,2.0
57360.0,873478.0,10.0
,959429.0,10.0
,761455.0,8.0
57334.0,266688.0,3.0
,919517.0,10.0
57319.0,,2.0
57304.0,528677.0,6.0
57285.0,,1.0
57282.0,,4.0
57278.0,438549.0,5.0
57277.0,455875.0,5.0
57270.0,814192.0,9.0
57267.0,161979.0,2.0
,260024.0,3.0
,591405.0,7.0
,547275.0,6.0
57223.0,878408.0,10.0
57209.0,,8.0
57209.0,,7.0
57205.0,,9.0
,322452.0,4.0
57192.0,153203.0,2.0
57178.0,,7.0
57177.0,250432.0,3.0
57175.0,238910.0,3.0
,248237.0,3.0
,514075.0,6.0
57132.0,,9.0
57115.0,553925.0,6.0
57064.0,820169.0,9.0
57061.0,941072.0,10.0
57059.0,,5.0
57052.0,,3.0
57043.0,,9.0
